Session,prefix,Gorilla Protocol names,UniqueName,EN-GB,IT,FR,FR_redirect,TR,CA-FR,JP,DE,US-CAN,IN,IN_redirect,IN_short,CO,CO_Short,GR,AR,AR-Qu-01,AR-Tasks-1,AR-Qu-02,AR-Tasks-2,questionnaire or task name,JP_C2
1,questionnaire-,Welcome_consent,S1_Welcome,bf7f,bf7f,7b1e,NA,bf7f,7b1e,bf7f,bf7f,bf7f,bf7f,NA,NA,bf7f,bf7f,11oo,bf7f,bf7f,bf7f,bf7f,bf7f,NA,NA
1,checkpoint,Session1_confinement_Start,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,questionnaire-,ConfinementTracker,S1_ConfinementTrack_r1,oxhg,oxhg,l7nj,l7nj,oxhg,l7nj,oxhg,oxhg,oxhg,oxhg,NA,oxhg,oxhg,oxhg,9jf1,oxhg,NA,NA,NA,NA,NA,NA
1,questionnaire-,ConfinementTracker,S1_ConfinementTrack_r1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,zovi,NA,NA,NA,NA,NA,NA,NA
1,questionnaire-,Demographics,S1_Demographics,s8ta,s8ta,z3jr,NA,s8ta,z3jr,s8ta,s8ta,s8ta,s8ta,NA,s8ta,s8ta,s8ta,28fy,s8ta,NA,NA,NA,NA,NA,NA
1,questionnaire-,General_Instructions,S1_Instructions,nkrh,nkrh,sav9,sav9,nkrh,sav9,nkrh,nkrh,nkrh,nkrh,NA,nkrh,nkrh,nkrh,cabn,nkrh,NA,NA,NA,NA,NA,NA
1,questionnaire-,Workday,S1_Workday_r1,yeh1,yeh1,7hxh,NA,yeh1,7hxh,yeh1,yeh1,yeh1,yeh1,NA,yeh1,yeh1,yeh1,7zfm,yeh1,NA,NA,NA,NA,NA,NA
1,questionnaire-,02_UCLA,S1_UCLA,yvjs,yvjs,6kqm,NA,yvjs,6kqm,yvjs,yvjs,yvjs,yvjs,NA,NA,yvjs,NA,mv5l,yvjs,NA,NA,NA,NA,NA,NA
1,questionnaire-,03_IQ,S1_IQ,omgj,omgj,pg6r,NA,omgj,pg6r,omgj,omgj,omgj,omgj,NA,omgj,omgj,omgj,dgcv,omgj,NA,NA,NA,NA,NA,NA
1,questionnaire-,04_rMEQ,S1_rMEQ,2wc3,2wc3,vhfb,NA,2wc3,vhfb,2wc3,2wc3,2wc3,2wc3,NA,NA,2wc3,NA,m941,2wc3,NA,NA,NA,NA,NA,NA
1,questionnaire-,05_ZTPI,S1_ZTPI,ribw,ribw,zw1c,NA,ribw,zw1c,ribw,ribw,ribw,ribw,NA,ribw,ribw,ribw,pzj9,ribw,NA,NA,NA,NA,NA,NA
1,questionnaire-,06_HADS,S1_HADS_r1,dl8j,dl8j,l1r5,NA,dl8j,l1r5,dl8j,dl8j,dl8j,dl8j,NA,dl8j,dl8j,dl8j,yxav,dl8j,NA,NA,NA,NA,NA,NA
1,questionnaire-,07a_PSQI,S1_PSQI,xdwk,xdwk,i7b2,NA,xdwk,i7b2,xdwk,xdwk,xdwk,xdwk,NA,xdwk,xdwk,xdwk,veyc,xdwk,NA,NA,NA,NA,NA,NA
1,questionnaire-,07c_muMCQT,S1_MCQT,sytt,sytt,mjj2,NA,sytt,mjj2,sytt,sytt,sytt,sytt,NA,3de8,sytt,3de8,kb6m,sytt,NA,NA,NA,NA,NA,NA
1,questionnaire-,08_ASQ,S1_ASQ,jbij,jbij,b6ic,NA,jbij,b6ic,jbij,jbij,jbij,jbij,NA,unhy,unhy,unhy,vla4,jbij,NA,NA,NA,NA,NA,NA
1,questionnaire-,08_ASQ,S1_ASQ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,jbij,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,questionnaire-,09_BFI-10,S1_BFI,6c6j,6c6j,8sim,NA,6c6j,8sim,6c6j,hns2,6c6j,6c6j,NA,nhnp,nhnp,nhnp,anhx,6c6j,NA,NA,NA,NA,NA,NA
1,questionnaire-,09_BFI-10,S1_BFI,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6c6j,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,questionnaire-,10_Retrospective_Duration,S1_RetroDuration,ywwq,ywwq,z19v,NA,ywwq,z19v,ywwq,ywwq,ywwq,ywwq,NA,75ik,75ik,75ik,uw7y,ywwq,NA,NA,NA,NA,NA,NA
1,questionnaire-,10_Retrospective_Duration,S1_RetroDuration,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ywwq,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,questionnaire-,14_CFC-14-DE,S1_CFC-14,NA,NA,NA,NA,NA,NA,NA,z3zi,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,task-,Temporal_landmark,S1_TemporalLandmark_r1,a2s8,a2s8,vufk,NA,a2s8,vufk,a2s8,a2s8,a2s8,a2s8,NA,8xfs,a2s8,8xfs,jt9e,a2s8,NA,NA,NA,NA,NA,NA
1,task-,Temporal_landmark,S1_TemporalLandmark_r1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8xfs,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,checkpoint,Session1_confinement_Qu01,NA,e6n7,e6n7,e6n7,NA,e6n7,e6n7,e6n7,e6n7,e6n7,e6n7,NA,NA,e6n7,NA,e6n7,e6n7,NA,NA,NA,NA,NA,NA
1,questionnaire-,Workday,S1_Workday_r2,3b4u,3b4u,vnbb,NA,3b4u,vnbb,3b4u,3b4u,3b4u,3b4u,NA,NA,3b4u,NA,3l44,3b4u,3b4u,NA,NA,NA,NA,NA
1,questionnaire-,Workday,S1_Workday_r2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,zbs9,NA,NA,NA,NA,NA,NA,NA
1,questionnaire-,11_ShortSleepQu,S1_ShortSleep_r1,1r6m,1r6m,l4iu,NA,1r6m,l4iu,1r6m,fefi,1r6m,1r6m,NA,NA,1r6m,NA,l43v,1r6m,1r6m,NA,NA,NA,NA,NA
1,task-,SelfPreference,S1_SelfPref_r1,alpe,alpe,r8lq,NA,alpe,r8lq,alpe,alpe,alpe,alpe,NA,alpe,alpe,alpe,ny2x,alpe,alpe,NA,NA,NA,NA,NA
1,task-,SelfPreference,S1_SelfPref_r1b,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,tmq7,NA,NA,tmq7,tmq7,NA,NA,NA,NA,NA
1,task-,DelayDiscount,S1_DelayDiscount_r1,bjox,bjox,rve1,NA,bjox,rve1,bjox,bjox,bjox,bjox,NA,bjox,bjox,bjox,awp2,bjox,bjox,NA,NA,NA,NA,NA
1,task-,Tapping_Visual,S1_TapVis_r1,ijae,ijae,73p8,NA,ijae,73p8,ijae,ijae,ijae,ijae,NA,ijae,ijae,ijae,jjv8,ijae,ijae,NA,NA,NA,NA,NA
1,task-,Tapping,S1_Tapping_r1,tmq7,tmq7,x9hb,NA,tmq7,x9hb,tmq7,tmq7,tmq7,tmq7,NA,NA,NA,NA,pn1f,NA,NA,NA,NA,NA,NA,NA
1,task-,ImplicitTiming,S1_Implicit_r1,e3ny,e3ny,nlug,NA,e3ny,nlug,e3ny,e3ny,e3ny,e3ny,NA,7v2r,e3ny,7v2r,2vya,e3ny,e3ny,NA,NA,NA,NA,NA
1,task-,ImplicitTiming,S1_Implicit_r1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,vkpw,NA,NA,NA,NA,NA,NA,NA
1,task-,Duration_Production_Metacog,S1_Metacog_r1,ctdw,ctdw,qaws,NA,ctdw,qaws,ctdw,ctdw,ctdw,ctdw,NA,ctdw,ctdw,ctdw,wzt9,ctdw,ctdw,NA,NA,NA,NA,NA
1,task-,Count__SS1a,S1_Count_r1,3o3q,3o3q,nhyq,NA,3o3q,nhyq,3o3q,3o3q,3o3q,3o3q,NA,NA,3o3q,NA,u4nn,3o3q,3o3q,NA,NA,NA,NA,NA
1,task-,Count__SS2a,S1_Count_r2,ne1s,ne1s,6p44,NA,ne1s,6p44,ne1s,1aj2,ne1s,ne1s,NA,NA,ne1s,NA,4fki,ne1s,ne1s,NA,NA,NA,NA,NA
1,task-,Countdown_SS1b,S1_CountDown_r1,ryee,ryee,q99e,NA,ryee,q99e,ryee,ryee,ryee,ryee,NA,NA,ryee,NA,wj9h,ryee,ryee,NA,NA,NA,NA,NA
1,task-,Countdown_SS1b,S1_CountDown_r1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,p48q,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,task-,Countdown_SS2b,S1_CountDown_r2,c86w,c86w,waue,NA,c86w,waue,c86w,91nw,c86w,c86w,NA,NA,c86w,NA,4pcg,c86w,c86w,NA,NA,NA,NA,NA
1,task-,1back_SS_nback1,S1_1back_r1,l4v8,l4v8,dvif,NA,l4v8,dvif,l4v8,l4v8,l4v8,l4v8,NA,NA,l4v8,NA,pf7q,l4v8,l4v8,NA,NA,NA,NA,NA
1,task-,3back_SS_nback2,S1_3back_r1,yeyq,yeyq,5me9,NA,yeyq,5me9,yeyq,yeyq,yeyq,yeyq,NA,NA,yeyq,NA,gxff,yeyq,yeyq,NA,NA,NA,NA,NA
1,checkpoint,Session1_confinement_Tasks_1,NA,adsx,adsx,7u5f,NA,adsx,7u5f,adsx,7u5f,adsx,adsx,NA,adsx,adsx,adsx,7u5f,adsx,adsx,NA,NA,NA,NA,NA
1,questionnaire-,Workday,S1_Workday_r3,74ch,74ch,z599,z599,74ch,z599,74ch,74ch,74ch,74ch,NA,74ch,74ch,74ch,qbht,74ch,74ch,74ch,NA,NA,NA,NA
1,questionnaire-,SubjectiveTemporalDistance,S1_SubjTemporalDistance_r1,3de8,3de8,c49r,c49r,3de8,c49r,3de8,3de8,3de8,3de8,NA,l4bw,3de8,l4bw,zscx,3de8,3de8,3de8,NA,NA,NA,NA
1,questionnaire-,SubjectiveTemporalDistance,S1_SubjTemporalDistance_r1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,l4bw,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,questionnaire-,13_FFA,S1_FFA,anhb,anhb,bi3j,bi3j,anhb,bi3j,anhb,anhb,anhb,anhb,NA,anhb,anhb,anhb,okxy,anhb,anhb,anhb,NA,NA,NA,NA
1,questionnaire-,12_SelPercept,S1_SelfPercept_r1,llj9,llj9,4161,4161,llj9,4161,llj9,wuae,llj9,llj9,NA,llj9,llj9,llj9,9io2,llj9,llj9,llj9,NA,NA,NA,NA
1,task-,Temporal_landmark,S1_TemporalLandmark_r2,165l,165l,b9ug,b9ug,165l,b9ug,165l,6e6k,165l,165l,NA,NA,165l,NA,evys,165l,165l,165l,NA,NA,NA,NA
1,task-,Phonemic_Fluency,S1_Phoneme_r1,e2m7,e2m7,8s3d,8s3d,e2m7,8s3d,e2m7,e2m7,e2m7,e2m7,NA,NA,e2m7,NA,v6c2,e2m7,e2m7,e2m7,NA,NA,NA,NA
1,task-,Semantic_Fluency,S1_Semantic_r1,7p4z,7p4z,9dzj,9dzj,7p4z,9dzj,7p4z,7p4z,7p4z,7p4z,NA,ym1u,7p4z,ym1u,wdy7,7p4z,7p4z,7p4z,NA,NA,NA,NA
1,task-,Semantic_Time_Fluency,S1_SemanticTime_r1,r67b,r67b,fth3,fth3,r67b,fth3,r67b,r67b,r67b,r67b,NA,s4pq,r67b,s4pq,9eqw,r67b,r67b,r67b,NA,NA,NA,NA
1,task-,Semantic_Time_Fluency,S1_SemanticTime_r1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,s4pq,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,task-,Past_Fluency,S1_PastFluency_r1,6q3z,6q3z,7t6g,7t6g,6q3z,7t6g,6q3z,6q3z,6q3z,6q3z,NA,ryee,6q3z,ryee,bs9j,6q3z,6q3z,6q3z,NA,NA,NA,NA
1,task-,Past_Fluency,S1_PastFluency_r1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,p48c,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,task-,Future_Fluency,S1_FutureFluency_r1,6e6k,6e6k,rwfb,rwfb,6e6k,rwfb,6e6k,165l,6e6k,6e6k,NA,vm4p,6e6k,vm4p,yssm,6e6k,6e6k,6e6k,NA,NA,NA,NA
1,task-,Future_Fluency,S1_FutureFluency_r1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,vm4p,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,checkpoint,Session1_confinement_Qu02,NA,lzh9,lzh9,9met,9met,lzh9,9met,lzh9,adsx,lzh9,lzh9,NA,NA,lzh9,NA,adsx,lzh9,lzh9,lzh9,NA,NA,NA,NA
1,questionnaire-,ConfinementTracker,S1_ConfinementTrack_r2,hqfe,hqfe,eeue,eeue,hqfe,eeue,hqfe,hqfe,hqfe,hqfe,NA,NA,hqfe,NA,9312,hqfe,hqfe,hqfe,hqfe,NA,NA,NA
1,questionnaire-,Workday,S1_Workday_r4,kuiq,kuiq,qdse,qdse,kuiq,qdse,kuiq,kuiq,kuiq,kuiq,NA,NA,kuiq,NA,321o,kuiq,kuiq,kuiq,kuiq,NA,NA,NA
1,questionnaire-,11_ShortSleepQu,S1_ShortSleep_r2,tti8,tti8,7lex,7lex,tti8,7lex,tti8,tti8,tti8,tti8,NA,1r6m,tti8,1r6m,p7y3,tti8,tti8,tti8,tti8,NA,NA,NA
1,task-,SelfPreference,S1_SelfPref_r2,xwfu,xwfu,193v,193v,xwfu,193v,xwfu,xwfu,xwfu,xwfu,NA,NA,xwfu,NA,3h5k,xwfu,xwfu,xwfu,xwfu,NA,NA,NA
1,task-,SelfPreference,S1_SelfPref_r2b,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ctos,ctos,ctos,ctos,NA,NA,NA
1,task-,DelayDiscount,S1_DelayDiscount_r2,8ecw,8ecw,j3dj,j3dj,8ecw,j3dj,8ecw,8ecw,8ecw,8ecw,NA,NA,8ecw,NA,qtf5,8ecw,8ecw,8ecw,8ecw,NA,NA,NA
1,task-,Tapping_Visual,S1_TapVis_r2,q1jh,q1jh,yk1x,yk1x,q1jh,yk1x,q1jh,q1jh,q1jh,q1jh,NA,NA,q1jh,NA,id9m,q1jh,q1jh,q1jh,q1jh,NA,NA,NA
1,task-,Tapping,S1_Tapping_r2,ctos,ctos,x4ug,x4ug,ctos,x4ug,ctos,ctos,ctos,ctos,NA,NA,ctos,NA,9pvu,NA,NA,NA,NA,NA,NA,NA
1,task-,Tapping,S1_Tapping_r2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1jwi,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,task-,ImplicitTiming,S1_Implicit_r2,7v2r,7v2r,usfq,usfq,7v2r,usfq,7v2r,7v2r,7v2r,7v2r,NA,NA,7v2r,NA,8fvo,7v2r,7v2r,7v2r,7v2r,NA,NA,NA
1,task-,ImplicitTiming,S1_Implicit_r2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,gcrk,NA,NA,NA,NA,NA,NA,NA
1,task-,Duration_Production_Metacog,S1_Metacog_r2,yc5s,yc5s,59sj,59sj,yc5s,59sj,yc5s,yc5s,yc5s,yc5s,NA,NA,yc5s,NA,dw1j,yc5s,yc5s,yc5s,yc5s,NA,NA,NA
1,task-,Count__SS1b,S1_Count_r3,vj3x,vj3x,8l84,8l84,vj3x,8l84,vj3x,vj3x,vj3x,vj3x,NA,NA,vj3x,NA,oopi,vj3x,vj3x,vj3x,vj3x,NA,NA,NA
1,task-,Count__SS2B,S1_Count_r4,ym1u,ym1u,w4d9,w4d9,ym1u,w4d9,ym1u,3ds6,ym1u,ym1u,NA,NA,ym1u,NA,21bo,ym1u,ym1u,ym1u,ym1u,NA,NA,NA
1,0,Countdown_SS1a,S1_CountDown_r3,conr,conr,dauo,dauo,conr,dauo,conr,conr,conr,conr,NA,NA,conr,NA,fftn,conr,conr,conr,conr,NA,NA,NA
1,task-,Countdown_SS2a,S1_CountDown_r4,d4p1,d4p1,o2jt,o2jt,d4p1,o2jt,d4p1,gdpd,d4p1,d4p1,NA,NA,d4p1,NA,lhbw,d4p1,d4p1,d4p1,d4p1,NA,NA,NA
1,task-,1back_SSnback2,S1_1back_r2,4vn8,4vn8,qva6,qva6,4vn8,qva6,4vn8,4vn8,4vn8,4vn8,NA,NA,4vn8,NA,4wxq,4vn8,4vn8,4vn8,4vn8,NA,NA,NA
1,task-,3back_SSnback1,S1_3back_r2,56og,56og,cqbj,cqbj,56og,cqbj,56og,56og,56og,56og,NA,NA,56og,NA,bij6,56og,56og,56og,56og,NA,NA,NA
1,checkpoint,Session1_confinement_Tasks_2,NA,vgns,vgns,vgns,vgns,vgns,vgns,vgns,vgns,vgns,vgns,NA,vgns,vgns,vgns,vgns,vgns,vgns,vgns,vgns,NA,NA,NA
1,questionnaire-,ConfinementTracker,S1_ConfinementTrack_r3,r8ex,r8ex,wxbm,wxbm,r8ex,wxbm,r8ex,fgmw,r8ex,r8ex,r8ex,NA,r8ex,NA,vf2t,r8ex,r8ex,r8ex,r8ex,r8ex,NA,NA
1,questionnaire-,Workday,S1_Workday_r5,pwin,pwin,uqwx,uqwx,pwin,uqwx,pwin,jzkd,pwin,pwin,pwin,NA,pwin,NA,aclh,pwin,pwin,pwin,pwin,pwin,NA,NA
1,questionnaire-,11_ShortSleep,S1_ShortSleep_r3,86gt,86gt,ya2d,ya2d,86gt,ya2d,86gt,8wpw,86gt,86gt,86gt,NA,86gt,NA,ql32,86gt,86gt,86gt,86gt,86gt,NA,NA
1,task-,SelfPreference,S1_SelfPref_r3,qjlv,qjlv,te58,te58,qjlv,te58,qjlv,5quh,qjlv,qjlv,qjlv,qjlv,qjlv,qjlv,f81m,qjlv,qjlv,qjlv,qjlv,qjlv,NA,NA
1,task-,SelfPreference,S1_SelfPref_r3b,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,elol,elol,elol,elol,elol,NA,NA
1,task-,DelayDiscount,S1_DelayDiscount_r3,vf7e,vf7e,nu7n,nu7n,vf7e,nu7n,vf7e,vnte,vf7e,vf7e,vf7e,vf7e,vf7e,vf7e,gfx1,vf7e,vf7e,vf7e,vf7e,vf7e,NA,NA
1,task-,Tapping_Visual,S1_TapVis_r3,p2gz,p2gz,1vlw,1vlw,p2gz,1vlw,p2gz,tpqv,p2gz,p2gz,p2gz,p2gz,p2gz,p2gz,3hpw,p2gz,p2gz,p2gz,p2gz,p2gz,NA,NA
1,task-,Tapping,S1_Tapping_r3,elol,elol,fxyl,fxyl,elol,fxyl,elol,ihkw,elol,elol,elol,1jwi,elol,1jwi,nwxe,NA,NA,NA,NA,NA,NA,NA
1,task-,ImplicitTiming,S1_Implicit_r3,rzw7,rzw7,oor3,oor3,rzw7,oor3,rzw7,ny6f,rzw7,rzw7,rzw7,rzw7,rzw7,rzw7,51lh,rzw7,rzw7,rzw7,rzw7,rzw7,NA,NA
1,task-,Duration_Production_Metacog,S1_Metacog_r3,sz8b,sz8b,f4d3,f4d3,sz8b,f4d3,sz8b,fugt,sz8b,sz8b,sz8b,sz8b,sz8b,sz8b,hayl,sz8b,sz8b,sz8b,sz8b,sz8b,NA,NA
1,task-,Count__SS3a,S1_Count_r5,1pib,dbrt,6fia,6fia,1pib,6fia,1pib,uoxi,dbrt,1pib,1pib,NA,dbrt,NA,re9t,dbrt,dbrt,dbrt,dbrt,dbrt,NA,NA
1,task-,Count__SS3b,S1_Count_r6,dbrt,1pib,iw3i,iw3i,dbrt,iw3i,dbrt,7jjw,1pib,dbrt,dbrt,NA,1pib,NA,lyha,1pib,1pib,1pib,1pib,1pib,NA,NA
1,task-,Countdown_SS3a,S1_CountDown_r5,ipkv,ipkv,nt4w,nt4w,ipkv,nt4w,ipkv,17y9,ipkv,ipkv,ipkv,NA,ipkv,NA,gnvp,ipkv,ipkv,ipkv,ipkv,ipkv,NA,NA
1,task-,Countdown_SS3b,S1_CountDown_r6,vqd2,vqd2,pxw9,pxw9,vqd2,pxw9,vqd2,52lo,vqd2,vqd2,vqd2,NA,vqd2,NA,7awh,vqd2,vqd2,vqd2,vqd2,vqd2,NA,NA
1,task-,1back_SSnback1,S1_1back_r3,boh5,boh5,c2l7,c2l7,boh5,c2l7,boh5,uk66,boh5,boh5,boh5,NA,boh5,NA,6fkp,boh5,boh5,boh5,boh5,boh5,NA,NA
1,task-,3back_SSnback2,S1_3back_r3,rzqj,rzqj,hft7,hft7,rzqj,hft7,rzqj,nmnb,rzqj,rzqj,rzqj,NA,rzqj,NA,4q8x,rzqj,rzqj,rzqj,rzqj,rzqj,NA,NA
1,checkpoint,Session1_confinement_Tasks_3,NA,ppak,ppak,xwoi,xwoi,ppak,xwoi,ppak,1s99,ppak,ppak,ppak,NA,ppak,NA,o429,ppak,ppak,ppak,ppak,ppak,NA,NA
1,questionnaire-,Workday,S1_workday_r6,NA,NA,NA,NA,NA,NA,NA,ftjs,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,questionnaire-,SubjectiveTemporalDistance,S1_SubjTemporalDistance_r2,pwrb,pwrb,u9bd,NA,pwrb,u9bd,pwrb,pwrb,pwrb,pwrb,pwrb,NA,pwrb,NA,we36,pwrb,pwrb,pwrb,pwrb,pwrb,NA,NA
1,questionnaire-,06_HADS,S1_HADS_r2,kmm9,kmm9,rh1d,rh1d,kmm9,rh1d,kmm9,kmm9,kmm9,kmm9,kmm9,NA,kmm9,NA,von3,kmm9,kmm9,kmm9,kmm9,kmm9,NA,NA
1,questionnaire-,07_PSQI-week,S1_PSQI-week,enxm,enxm,2k96,2k96,enxm,2k96,enxm,enxm,enxm,enxm,enxm,NA,enxm,NA,3k6z,enxm,enxm,enxm,enxm,enxm,NA,NA
1,task-,Temporal_landmark,S1_TemporalLandmark_r3,8wfk,8wfk,j14w,j14w,8wfk,j14w,8wfk,8wfk,8wfk,8wfk,8wfk,NA,8wfk,NA,9i4t,8wfk,8wfk,8wfk,8wfk,8wfk,NA,NA
1,task-,Phonemic_Fluency,S1_Phoneme_r2,zmty,zmty,psd9,psd9,zmty,psd9,zmty,zmty,zmty,zmty,zmty,NA,zmty,NA,ly8e,zmty,zmty,zmty,zmty,zmty,NA,NA
1,task-,Semantic_Fluency,S1_Semantic_r2,1gez,1gez,43n3,43n3,1gez,43n3,1gez,1gez,1gez,1gez,1gez,NA,1gez,NA,zvf4,1gez,1gez,1gez,1gez,1gez,NA,NA
1,task-,Past_Fluency,S1_PastFluency_r2,zwhr,zwhr,adfe,adfe,zwhr,adfe,zwhr,zwhr,zwhr,zwhr,zwhr,conr,zwhr,conr,fyca,zwhr,zwhr,zwhr,zwhr,zwhr,NA,NA
1,task-,Future_Fluency,S1_FutureFluency_r2,rkl6,rkl6,1eny,1eny,rkl6,1eny,rkl6,rkl6,rkl6,rkl6,rkl6,NA,rkl6,NA,5ugd,rkl6,rkl6,rkl6,rkl6,rkl6,NA,NA
1,task-,Semantic_Time_Fluency,S1_SemanticTime_r2,l2es,l2es,lxu7,lxu7,l2es,lxu7,l2es,wmv9,l2es,l2es,l2es,NA,l2es,NA,zs1k,l2es,l2es,l2es,l2es,l2es,NA,NA
